,RetractionYear,Publisher,Count
165,2012,The Editorial Committee of Annals of Thoracic and Cardiovascular Surgery,1
166,2012,The Japanese Circulation Society,1
167,2012,Trans Tech Publications Ltd,1
168,2012,Universidade de Sao Paulo,1
169,2012,University of Tokyo Academic Collaboration Society,1
170,2012,Wichtig Publishing,1
171,2012,Wiley-Blackwell,1
172,2012,Wolters Kluwer,1
173,2013,Elsevier,127
174,2013,Wiley,91
175,2013,Springer,76
176,2013,Taylor and Francis,43
177,2013,American Society for Biochemistry and Molecular Biology (ASBMB),18
178,2013,Hindawi,13
179,2013,Springer - Nature Publishing Group,9
180,2013,American Chemical Society (ACS),7
181,2013,Nature Publishing Group,7
182,2013,PLoS,7
183,2013,Wolters Kluwer,7
184,2013,Academic and Business Research Institute (AABRI),6
185,2013,APS: American Physiological Society,5
186,2013,American Association for Cancer Research,5
187,2013,American Association of Immunologists,5
188,2013,BioMed Central (BMC),5
189,2013,Elsevier - Cell Press,5
190,2013,IEEE: Institute of Electrical and Electronics Engineers,5
191,2013,Frontiers,4
192,2013,Mary Ann Liebert,4
193,2013,Oxford Academic,4
194,2013,Oxford University Press,4
195,2013,Royal Society of Chemistry (RSC),4
196,2013,Springer - Biomed Central (BMC),4
197,2013,American Heart Association,3
198,2013,American Society of Civil Engineers,3
199,2013,American Society of Hematology,3
200,2013,BMJ Publishing,3
201,2013,National Academy of Sciences (NAS),3
202,2013,SAGE Publications,3
203,2013,Society for Neuroscience,3
204,2013,Transilvania University Press,3
205,2013,Wolters Kluwer - Lippincott Williams & Wilkins,3
206,2013,IOP Publishing,2
207,2013,MDPI,2
208,2013,World Scientific Publishing Company,2
209,2013,American Association for the Advancement of Science (AAAS),1
210,2013,American Diabetes Association,1
211,2013,American Physical Society,1
212,2013,American Society for Microbiology,1
213,2013,Atha Comunicacao e Editora,1
214,2013,Biomedical Informatics Publishing Group,1
215,2013,Bone & Joint Publishing: The British Editorial Society of Bone & Joint Surgery,1
216,2013,Cancer Intelligence,1
217,2013,Center of Excellence in Nonlinear Analysis and Optimization,1
218,2013,De Gruyter,1
219,2013,EDP Sciences,1
220,2013,Endocrine Society,1
221,2013,JAMA Network,1
222,2013,"James Cook University, Queensland, Australia",1
223,2013,Japanese Society of Veterinary Science,1
224,2013,Journal of Applied Pharmaceutical Science,1
225,2013,Korea Genome Organization,1
226,2013,Korean Nutrition Society,1
227,2013,Korean Pediatric Society,1
228,2013,Korean Society for Molecular and Cellular Biology,1
